Report Number,Date of Occurrence,city,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Case Closed,Date Case Closed,area_location,latitude,longitude
29,1/2/2020 4:00,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,No,,Koramangala,12.9352,77.6142
32,1/2/2020 7:00,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,Yes,18-03-2020 13:00,Gachibowli,17.4448,78.3498
33,1/2/2020 8:00,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,No,,Rohini,28.7492,77.0574
36,1/2/2020 11:00,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,No,,T. Nagar,13.042,80.2337
37,1/2/2020 12:00,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,Yes,2/7/2020 5:00,Gomti Nagar,26.8467,81
40,1/2/2020 15:00,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,Yes,15-01-2020 02:00,Bandra,19.0606,72.8366
43,1/2/2020 18:00,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,Yes,17-03-2020 03:00,Rohini,28.7492,77.0574
44,1/2/2020 19:00,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,No,,Dadar,19.0184,72.8436
45,1/2/2020 20:00,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,Yes,12/1/2020 19:00,Park Street,22.5531,88.3501
47,1/2/2020 22:00,Delhi,555,ROBBERY,47,F,None,Violent Crime,No,,Dwarka,28.5921,77.046
48,1/2/2020 23:00,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,Yes,14-03-2020 17:00,Hazratganj,26.8508,80.9462
49,1/3/2020 0:00,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,No,,Malviya Nagar,26.8497,75.818
50,1/3/2020 1:00,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,No,,Gachibowli,17.4448,78.3498
52,1/3/2020 3:00,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,Yes,14-04-2020 12:00,Behala,22.501,88.3141
54,1/3/2020 5:00,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,No,,Dwarka,28.5921,77.046
55,1/3/2020 6:00,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,No,,Yerawada,18.5575,73.899
58,1/3/2020 9:00,Ahmedabad,110,ASSAULT,70,F,None,Violent Crime,No,,Navrangpura,23.0422,72.5551
59,1/3/2020 10:00,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,No,,Velachery,12.9784,80.2209
61,1/3/2020 12:00,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,No,,Bandra,19.0606,72.8366
63,1/3/2020 14:00,Chennai,495,FRAUD,56,M,Explosives,Other Crime,Yes,15-03-2020 20:00,T. Nagar,13.042,80.2337
66,1/3/2020 17:00,Lucknow,409,EXTORTION,45,F,Other,Other Crime,Yes,15-03-2020 14:00,Hazratganj,26.8508,80.9462
69,1/3/2020 20:00,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,Yes,17-01-2020 09:00,Gachibowli,17.4448,78.3498
71,1/3/2020 22:00,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,No,,Behala,22.501,88.3141
73,1/4/2020 0:00,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,No,,Hazratganj,26.8508,80.9462
74,1/4/2020 1:00,Chennai,524,ARSON,36,M,Firearm,Fire Accident,Yes,20-01-2020 05:00,Velachery,12.9784,80.2209
75,1/4/2020 2:00,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,No,,Maninagar,22.9921,72.6036
76,1/4/2020 3:00,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,Yes,26-01-2020 00:00,Dwarka,28.5921,77.046
77,1/4/2020 4:00,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,No,,Bandra,19.0606,72.8366
79,1/4/2020 6:00,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,No,,Bandra,19.0606,72.8366
81,1/4/2020 8:00,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,Yes,4/3/2020 3:00,Rohini,28.7492,77.0574
82,1/4/2020 9:00,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,No,,Malviya Nagar,26.8497,75.818
83,1/4/2020 10:00,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,Yes,21-03-2020 12:00,Dadar,19.0184,72.8436
84,1/4/2020 11:00,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,Yes,20-01-2020 19:00,Salt Lake,22.5867,88.417
85,1/4/2020 12:00,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,No,,Gomti Nagar,26.8467,81
86,1/4/2020 13:00,Mumbai,438,VANDALISM,22,M,Other,Other Crime,Yes,11/3/2020 17:00,Dadar,19.0184,72.8436
87,1/4/2020 14:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,Yes,18-01-2020 06:00,Hazratganj,26.8508,80.9462
89,1/4/2020 16:00,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,No,,Bandra,19.0606,72.8366
90,1/4/2020 17:00,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,No,,Banjara Hills,17.4123,78.4296
91,1/4/2020 18:00,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,No,,Behala,22.501,88.3141
92,1/4/2020 19:00,Jaipur,510,CYBERCRIME,60,F,None,Other Crime,No,,Malviya Nagar,26.8497,75.818
93,1/4/2020 20:00,Hyderabad,597,FRAUD,53,M,None,Other Crime,Yes,1/4/2020 16:00,Gachibowli,17.4448,78.3498
94,1/4/2020 21:00,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,No,,Dadar,19.0184,72.8436
96,1/4/2020 23:00,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,No,,Begumpet,17.444,78.4637
98,1/5/2020 1:00,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,No,,Behala,22.501,88.3141
99,1/5/2020 2:00,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,Yes,23-01-2020 23:00,Gachibowli,17.4448,78.3498
100,1/5/2020 3:00,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,Yes,22-01-2020 20:00,Banjara Hills,17.4123,78.4296
101,1/5/2020 4:00,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,Yes,14-01-2020 23:00,Maninagar,22.9921,72.6036
102,1/5/2020 5:00,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,No,,Andheri,19.1197,72.8468
104,1/5/2020 7:00,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,Yes,19-02-2020 16:00,Dadar,19.0184,72.8436
105,1/5/2020 8:00,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,No,,Alambagh,26.7923,80.8899
106,1/5/2020 9:00,Hyderabad,583,VEHICLE - STOLEN,69,F,None,Violent Crime,Yes,22-02-2020 00:00,Gachibowli,17.4448,78.3498
107,1/5/2020 10:00,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,No,,Alambagh,26.7923,80.8899
108,1/5/2020 11:00,Bangalore,417,ARSON,21,F,Poison,Fire Accident,Yes,9/2/2020 12:00,Whitefield,12.9698,77.7499
109,1/5/2020 12:00,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,No,,T. Nagar,13.042,80.2337
110,1/5/2020 13:00,Delhi,464,ARSON,15,F,Other,Fire Accident,No,,Saket,28.5206,77.2073
112,1/5/2020 15:00,Delhi,183,COUNTERFEITING,37,F,None,Other Crime,No,,Dwarka,28.5921,77.046
113,1/5/2020 16:00,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,Yes,8/11/2021 9:00,Whitefield,12.9698,77.7499
115,1/5/2020 18:00,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,Yes,3/2/2020 13:00,Kasba Peth,18.5196,73.8574
116,1/5/2020 19:00,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,No,,Dadar,19.0184,72.8436
117,1/5/2020 20:00,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,Yes,13-03-2020 04:00,Gomti Nagar,26.8467,81
118,1/5/2020 21:00,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,Yes,30-03-2020 20:00,Saket,28.5206,77.2073
119,1/5/2020 22:00,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,Yes,27-02-2020 19:00,Andheri,19.1197,72.8468
120,1/5/2020 23:00,Pune,537,TRAFFIC VIOLATION,70,M,None,Traffic Fatality,Yes,27-01-2020 02:00,Tadiwala Road,18.5193,73.8794
121,1/6/2020 0:00,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,Yes,22-01-2020 14:00,Satellite,23.03,72.5171
122,1/6/2020 1:00,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,Yes,6/4/2020 19:00,Dwarka,28.5921,77.046
125,1/6/2020 4:00,Pune,347,FRAUD,30,M,Knife,Other Crime,No,,Kothrud,18.5096,73.8077
126,1/6/2020 5:00,Pune,127,ASSAULT,62,F,None,Violent Crime,No,,Kondhwa,18.4575,73.8901
132,1/6/2020 11:00,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,No,,Gomti Nagar,26.8467,81
133,1/6/2020 12:00,Bangalore,309,HOMICIDE,18,M,None,Other Crime,No,,Koramangala,12.9352,77.6142
134,1/6/2020 13:00,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,No,,Alambagh,26.7923,80.8899
135,1/6/2020 14:00,Delhi,406,VANDALISM,50,F,Other,Other Crime,No,,Rohini,28.7492,77.0574
136,1/6/2020 15:00,Delhi,278,FRAUD,71,F,Other,Other Crime,No,,Rohini,28.7492,77.0574
137,1/6/2020 16:00,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,Yes,23-01-2020 23:00,Maninagar,22.9921,72.6036
138,1/6/2020 17:00,Mumbai,445,ASSAULT,12,M,Blunt Object,Violent Crime,No,,Dadar,19.0184,72.8436
140,1/6/2020 19:00,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,Yes,6/2/2020 16:00,Vaishali Nagar,26.9196,75.7395
141,1/6/2020 20:00,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,No,,Dwarka,28.5921,77.046
142,1/6/2020 21:00,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,Yes,27-03-2020 23:00,Bandra,19.0606,72.8366
143,1/6/2020 22:00,Mumbai,278,ILLEGAL POSSESSION,45,F,None,Other Crime,No,,Andheri,19.1197,72.8468
146,1/7/2020 1:00,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,No,,Behala,22.501,88.3141
148,1/7/2020 3:00,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,No,,Whitefield,12.9698,77.7499
152,1/7/2020 7:00,Bangalore,311,ILLEGAL POSSESSION,67,M,None,Other Crime,No,,Whitefield,12.9698,77.7499
153,1/7/2020 8:00,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,No,,Saket,28.5206,77.2073
154,1/7/2020 9:00,Chennai,523,KIDNAPPING,39,F,Other,Other Crime,No,,T. Nagar,13.042,80.2337
155,1/7/2020 10:00,Bangalore,238,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,No,,Whitefield,12.9698,77.7499
156,1/7/2020 11:00,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,Yes,2/4/2020 5:00,Hadapsar,18.4967,73.9347
157,1/7/2020 12:00,Hyderabad,448,COUNTERFEITING,32,F,Other,Other Crime,No,,Banjara Hills,17.4123,78.4296
158,1/7/2020 13:00,Ahmedabad,588,HOMICIDE,18,F,Firearm,Other Crime,No,,Satellite,23.03,72.5171
159,1/7/2020 14:00,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,Yes,8/2/2020 18:00,Rohini,28.7492,77.0574
160,1/7/2020 15:00,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,Yes,22-03-2020 19:00,Salt Lake,22.5867,88.417
163,1/7/2020 18:00,Pune,589,SHOPLIFTING,39,F,Knife,Other Crime,No,,Tadiwala Road,18.5193,73.8794
164,1/7/2020 19:00,Pune,492,ARSON,66,F,Firearm,Fire Accident,No,,Kasba Peth,18.5196,73.8574
166,1/7/2020 21:00,Ahmedabad,234,VANDALISM,54,M,Firearm,Other Crime,Yes,10/3/2020 14:00,Maninagar,22.9921,72.6036
167,1/7/2020 22:00,Delhi,470,VANDALISM,79,M,Explosives,Other Crime,Yes,27-01-2020 16:00,Dwarka,28.5921,77.046
168,1/7/2020 23:00,Delhi,518,FRAUD,12,F,Firearm,Other Crime,Yes,4/3/2020 22:00,Saket,28.5206,77.2073
169,1/8/2020 0:00,Lucknow,295,DRUG OFFENSE,19,F,Blunt Object,Other Crime,No,,Hazratganj,26.8508,80.9462
172,1/8/2020 3:00,Jaipur,305,TRAFFIC VIOLATION,58,M,Poison,Traffic Fatality,No,,Mansarovar,26.8554,75.7705
173,1/8/2020 4:00,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,Yes,29-10-2021 03:00,Banjara Hills,17.4123,78.4296
176,1/8/2020 7:00,Lucknow,292,BURGLARY,66,F,None,Other Crime,Yes,28-06-2020 23:00,Gomti Nagar,26.8467,81
177,1/8/2020 8:00,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,Yes,21-03-2020 14:00,Adyar,13.0067,80.257
178,1/8/2020 9:00,Mumbai,331,ILLEGAL POSSESSION,54,F,None,Other Crime,No,,Andheri,19.1197,72.8468
180,1/8/2020 11:00,Pune,584,DOMESTIC VIOLENCE,72,M,Blunt Object,Violent Crime,Yes,23-01-2020 01:00,Viman Nagar,18.5679,73.9143
181,1/8/2020 12:00,Bangalore,341,TRAFFIC VIOLATION,23,F,Poison,Traffic Fatality,No,,Koramangala,12.9352,77.6142
182,1/8/2020 13:00,Mumbai,541,CYBERCRIME,53,F,Poison,Other Crime,No,,Andheri,19.1197,72.8468
183,1/8/2020 14:00,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,Yes,9/5/2021 9:00,Satellite,23.03,72.5171
184,1/8/2020 15:00,Hyderabad,422,SEXUAL ASSAULT,27,F,None,Violent Crime,No,,Gachibowli,17.4448,78.3498
185,1/8/2020 16:00,Mumbai,151,FRAUD,67,F,Other,Other Crime,Yes,3/3/2020 19:00,Dadar,19.0184,72.8436
186,1/8/2020 17:00,Bangalore,287,FRAUD,70,F,Other,Other Crime,Yes,12/3/2020 15:00,Koramangala,12.9352,77.6142
187,1/8/2020 18:00,Delhi,541,VANDALISM,75,F,Blunt Object,Other Crime,Yes,13-02-2020 09:00,Rohini,28.7492,77.0574
189,1/8/2020 20:00,Hyderabad,415,EXTORTION,24,F,Knife,Other Crime,Yes,23-03-2020 04:00,Banjara Hills,17.4123,78.4296
190,1/8/2020 21:00,Chennai,151,CYBERCRIME,44,M,Explosives,Other Crime,Yes,12/2/2020 5:00,Adyar,13.0067,80.257
191,1/8/2020 22:00,Chennai,268,KIDNAPPING,63,F,Knife,Other Crime,No,,Velachery,12.9784,80.2209
192,1/8/2020 23:00,Delhi,381,IDENTITY THEFT,18,M,Blunt Object,Violent Crime,Yes,20-01-2020 02:00,Saket,28.5206,77.2073
194,1/9/2020 1:00,Jaipur,389,DOMESTIC VIOLENCE,49,M,None,Violent Crime,Yes,6/3/2020 9:00,Vaishali Nagar,26.9196,75.7395
195,1/9/2020 2:00,Delhi,235,ILLEGAL POSSESSION,33,F,Poison,Other Crime,No,,Rohini,28.7492,77.0574
196,1/9/2020 3:00,Lucknow,562,DOMESTIC VIOLENCE,56,M,Other,Violent Crime,Yes,14-02-2020 04:00,Alambagh,26.7923,80.8899
197,1/9/2020 4:00,Ahmedabad,287,PUBLIC INTOXICATION,32,M,Explosives,Other Crime,Yes,24-01-2020 10:00,Navrangpura,23.0422,72.5551
198,1/9/2020 5:00,Hyderabad,316,EXTORTION,25,F,Explosives,Other Crime,Yes,22-01-2020 17:00,Banjara Hills,17.4123,78.4296
199,1/9/2020 6:00,Delhi,367,ARSON,62,F,Firearm,Fire Accident,No,,Saket,28.5206,77.2073
203,1/9/2020 10:00,Mumbai,257,DRUG OFFENSE,34,F,Blunt Object,Other Crime,Yes,15-03-2020 04:00,Andheri,19.1197,72.8468
204,1/9/2020 11:00,Lucknow,427,KIDNAPPING,16,F,Firearm,Other Crime,Yes,14-03-2020 16:00,Gomti Nagar,26.8467,81
205,1/9/2020 12:00,Hyderabad,340,SHOPLIFTING,59,F,Other,Other Crime,Yes,3/3/2020 4:00,Gachibowli,17.4448,78.3498
207,1/9/2020 14:00,Bangalore,376,COUNTERFEITING,21,F,Blunt Object,Other Crime,Yes,10/2/2020 8:00,Whitefield,12.9698,77.7499
209,1/9/2020 16:00,Hyderabad,257,EXTORTION,41,F,Explosives,Other Crime,No,,Gachibowli,17.4448,78.3498
210,1/9/2020 17:00,Kolkata,573,PUBLIC INTOXICATION,43,F,Knife,Other Crime,Yes,14-01-2020 03:00,Salt Lake,22.5867,88.417
212,1/9/2020 19:00,Delhi,439,FIREARM OFFENSE,34,M,Blunt Object,Fire Accident,No,,Rohini,28.7492,77.0574
213,1/9/2020 20:00,Kolkata,598,IDENTITY THEFT,19,F,Firearm,Violent Crime,Yes,21-01-2020 23:00,Park Street,22.5531,88.3501
214,1/9/2020 21:00,Bangalore,239,VEHICLE - STOLEN,73,M,Explosives,Violent Crime,Yes,13-03-2020 05:00,Whitefield,12.9698,77.7499
215,1/9/2020 22:00,Delhi,267,SEXUAL ASSAULT,44,M,Explosives,Violent Crime,Yes,1/9/2021 16:00,Dwarka,28.5921,77.046
216,1/9/2020 23:00,Ahmedabad,163,SHOPLIFTING,14,F,Knife,Other Crime,No,,Satellite,23.03,72.5171
217,1/10/2020 0:00,Kolkata,572,COUNTERFEITING,73,M,None,Other Crime,Yes,23-02-2020 18:00,Park Street,22.5531,88.3501
219,1/10/2020 2:00,Pune,336,TRAFFIC VIOLATION,61,M,Other,Traffic Fatality,No,,Yerawada,18.5575,73.899
221,1/10/2020 4:00,Kolkata,218,VEHICLE - STOLEN,24,F,None,Violent Crime,Yes,15-02-2020 23:00,Park Street,22.5531,88.3501
223,1/10/2020 6:00,Bangalore,570,FRAUD,55,F,Poison,Other Crime,No,,Whitefield,12.9698,77.7499
224,1/10/2020 7:00,Chennai,307,ROBBERY,49,F,Knife,Violent Crime,Yes,1/5/2020 21:00,T. Nagar,13.042,80.2337
225,1/10/2020 8:00,Bangalore,153,CYBERCRIME,40,F,Firearm,Other Crime,Yes,1/4/2020 19:00,Koramangala,12.9352,77.6142
227,1/10/2020 10:00,Mumbai,365,VANDALISM,35,F,Poison,Other Crime,Yes,16-03-2020 16:00,Dadar,19.0184,72.8436
228,1/10/2020 11:00,Pune,269,COUNTERFEITING,65,F,Blunt Object,Other Crime,No,,Viman Nagar,18.5679,73.9143
229,1/10/2020 12:00,Jaipur,247,VEHICLE - STOLEN,61,F,Other,Violent Crime,Yes,25-02-2020 05:00,Mansarovar,26.8554,75.7705
230,1/10/2020 13:00,Ahmedabad,190,VANDALISM,35,M,Poison,Other Crime,No,,Maninagar,22.9921,72.6036
231,1/10/2020 14:00,Pune,429,IDENTITY THEFT,45,M,Blunt Object,Violent Crime,No,,Kondhwa,18.4575,73.8901
233,1/10/2020 16:00,Mumbai,136,HOMICIDE,11,F,Other,Other Crime,No,,Bandra,19.0606,72.8366
234,1/10/2020 17:00,Kolkata,254,ASSAULT,40,M,Poison,Violent Crime,No,,Park Street,22.5531,88.3501
235,1/10/2020 18:00,Mumbai,514,TRAFFIC VIOLATION,23,F,Firearm,Traffic Fatality,Yes,14-01-2020 21:00,Bandra,19.0606,72.8366
238,1/10/2020 21:00,Chennai,583,CYBERCRIME,35,M,Knife,Other Crime,No,,Adyar,13.0067,80.257
239,1/10/2020 22:00,Delhi,418,FIREARM OFFENSE,65,M,Knife,Fire Accident,No,,Dwarka,28.5921,77.046
240,1/10/2020 23:00,Hyderabad,466,FIREARM OFFENSE,51,F,Knife,Fire Accident,No,,Begumpet,17.444,78.4637
241,1/11/2020 0:00,Mumbai,402,COUNTERFEITING,35,F,Other,Other Crime,No,,Dadar,19.0184,72.8436
242,1/11/2020 1:00,Bangalore,188,VANDALISM,59,F,Blunt Object,Other Crime,Yes,12/2/2020 8:00,Indiranagar,12.9716,77.6408
243,1/11/2020 2:00,Pune,512,FRAUD,48,F,Knife,Other Crime,Yes,6/4/2020 1:00,Kasba Peth,18.5196,73.8574
246,1/11/2020 5:00,Kolkata,399,ILLEGAL POSSESSION,65,F,Knife,Other Crime,No,,Behala,22.501,88.3141
248,1/11/2020 7:00,Ahmedabad,262,IDENTITY THEFT,77,F,Explosives,Violent Crime,Yes,28-02-2020 03:00,Maninagar,22.9921,72.6036
251,1/11/2020 10:00,Delhi,342,FIREARM OFFENSE,45,F,Other,Fire Accident,No,,Saket,28.5206,77.2073
253,1/11/2020 12:00,Hyderabad,362,TRAFFIC VIOLATION,11,M,Other,Traffic Fatality,Yes,6/2/2020 3:00,Banjara Hills,17.4123,78.4296
256,1/11/2020 15:00,Kolkata,581,PUBLIC INTOXICATION,76,M,Explosives,Other Crime,Yes,20-01-2020 17:00,Salt Lake,22.5867,88.417
257,1/11/2020 16:00,Hyderabad,230,EXTORTION,47,M,Blunt Object,Other Crime,Yes,10/2/2020 13:00,Begumpet,17.444,78.4637
258,1/11/2020 17:00,Ahmedabad,402,IDENTITY THEFT,22,F,Other,Violent Crime,No,,Navrangpura,23.0422,72.5551
259,1/11/2020 18:00,Mumbai,151,EXTORTION,33,M,Poison,Other Crime,Yes,2/4/2020 22:00,Andheri,19.1197,72.8468
261,1/11/2020 20:00,Chennai,542,BURGLARY,11,F,None,Other Crime,Yes,28-05-2020 20:00,Velachery,12.9784,80.2209
263,1/11/2020 22:00,Kolkata,142,IDENTITY THEFT,56,F,Poison,Violent Crime,No,,Behala,22.501,88.3141
266,1/12/2020 1:00,Chennai,430,IDENTITY THEFT,17,F,Explosives,Violent Crime,No,,T. Nagar,13.042,80.2337
272,1/12/2020 7:00,Hyderabad,292,PUBLIC INTOXICATION,39,F,Knife,Other Crime,Yes,6/2/2020 20:00,Begumpet,17.444,78.4637
273,1/12/2020 8:00,Delhi,584,IDENTITY THEFT,36,M,Other,Violent Crime,No,,Rohini,28.7492,77.0574
274,1/12/2020 9:00,Bangalore,515,VEHICLE - STOLEN,56,F,None,Violent Crime,No,,Koramangala,12.9352,77.6142
276,1/12/2020 11:00,Ahmedabad,546,ASSAULT,21,M,Other,Violent Crime,No,,Navrangpura,23.0422,72.5551
279,1/12/2020 14:00,Chennai,410,TRAFFIC VIOLATION,58,M,Knife,Traffic Fatality,Yes,30-01-2020 09:00,Adyar,13.0067,80.257
284,1/12/2020 19:00,Mumbai,481,ARSON,55,F,None,Fire Accident,Yes,28-03-2020 19:00,Bandra,19.0606,72.8366
286,1/12/2020 21:00,Mumbai,212,SHOPLIFTING,38,M,Other,Other Crime,Yes,25-03-2020 04:00,Andheri,19.1197,72.8468
287,1/12/2020 22:00,Pune,244,VEHICLE - STOLEN,12,F,Explosives,Violent Crime,Yes,1/2/2020 0:00,Kothrud,18.5096,73.8077
288,1/12/2020 23:00,Bangalore,363,IDENTITY THEFT,30,F,Firearm,Violent Crime,Yes,29-03-2020 15:00,Indiranagar,12.9716,77.6408
289,1/13/2020 0:00,Chennai,550,ILLEGAL POSSESSION,25,F,Blunt Object,Other Crime,Yes,25-01-2020 08:00,T. Nagar,13.042,80.2337
290,1/13/2020 1:00,Ahmedabad,484,EXTORTION,22,F,Other,Other Crime,No,,Satellite,23.03,72.5171
291,1/13/2020 2:00,Chennai,515,SHOPLIFTING,69,F,Explosives,Other Crime,No,,T. Nagar,13.042,80.2337
