city,area,latitude,longitude,risk_level,crime_description
Lucknow,Hazratganj,26.8508,80.9462,High,HOMICIDE
Jaipur,Vaishali Nagar,26.9196,75.7395,Medium,ASSAULT
Hyderabad,Banjara Hills,17.4123,78.4296,Low,PUBLIC INTOXICATION
Kolkata,Salt Lake,22.5867,88.417,Medium,EXTORTION
Bangalore,Indiranagar,12.9716,77.6408,Low,BURGLARY
Mumbai,Bandra,19.0606,72.8366,Low,VANDALISM
Mumbai,Bandra,19.0606,72.8366,High,SEXUAL ASSAULT
Delhi,Saket,28.5206,77.2073,Low,IDENTITY THEFT
Mumbai,Bandra,19.0606,72.8366,High,HOMICIDE
Pune,Tadiwala Road,18.5193,73.8794,Low,TRAFFIC VIOLATION
Hyderabad,Banjara Hills,17.4123,78.4296,High,HOMICIDE
Hyderabad,Banjara Hills,17.4123,78.4296,Medium,EXTORTION
Lucknow,Hazratganj,26.8508,80.9462,Low,ROBBERY
Lucknow,Hazratganj,26.8508,80.9462,Medium,ASSAULT
Lucknow,Alambagh,26.7923,80.8899,Low,CYBERCRIME
Bangalore,Indiranagar,12.9716,77.6408,Low,VANDALISM
Jaipur,Mansarovar,26.8554,75.7705,High,KIDNAPPING
Mumbai,Bandra,19.0606,72.8366,High,HOMICIDE
Jaipur,Mansarovar,26.8554,75.7705,High,KIDNAPPING
Hyderabad,Begumpet,17.444,78.4637,High,COUNTERFEITING
Bangalore,Indiranagar,12.9716,77.6408,High,SEXUAL ASSAULT
Delhi,Saket,28.5206,77.2073,Low,IDENTITY THEFT
Delhi,Rohini,28.7492,77.0574,Low,TRAFFIC VIOLATION
Mumbai,Dadar,19.0184,72.8436,Low,PUBLIC INTOXICATION
Chennai,Adyar,13.0067,80.257,Medium,EXTORTION
Jaipur,Malviya Nagar,26.8497,75.818,High,SEXUAL ASSAULT
Mumbai,Dadar,19.0184,72.8436,High,SEXUAL ASSAULT
Mumbai,Dadar,19.0184,72.8436,Low,TRAFFIC VIOLATION
Bangalore,Koramangala,12.9352,77.6142,Medium,EXTORTION
Hyderabad,Banjara Hills,17.4123,78.4296,Low,FRAUD
Hyderabad,Gachibowli,17.4448,78.3498,High,KIDNAPPING
Chennai,T. Nagar,13.042,80.2337,Medium,DRUG OFFENSE
Hyderabad,Begumpet,17.444,78.4637,Low,VANDALISM
Mumbai,Andheri,19.1197,72.8468,Low,IDENTITY THEFT
Hyderabad,Banjara Hills,17.4123,78.4296,High,KIDNAPPING
Mumbai,Andheri,19.1197,72.8468,Low,VANDALISM
Mumbai,Bandra,19.0606,72.8366,Low,COUNTERFEITING
Kolkata,Salt Lake,22.5867,88.417,Low,DOMESTIC VIOLENCE
Chennai,Velachery,12.9784,80.2209,Low,ROBBERY
Kolkata,Behala,22.501,88.3141,High,KIDNAPPING
Delhi,Dwarka,28.5921,77.046,Low,BURGLARY
Mumbai,Andheri,19.1197,72.8468,High,KIDNAPPING
Delhi,Dwarka,28.5921,77.046,Low,COUNTERFEITING
Kolkata,Behala,22.501,88.3141,Low,FRAUD
Pune,Kalyani Nagar,18.5485,73.9028,Low,ROBBERY
Chennai,Velachery,12.9784,80.2209,Low,BURGLARY
Hyderabad,Begumpet,17.444,78.4637,Low,CYBERCRIME
Delhi,Dwarka,28.5921,77.046,Low,TRAFFIC VIOLATION
Ahmedabad,Navrangpura,23.0422,72.5551,Medium,FIREARM OFFENSE
Bangalore,Indiranagar,12.9716,77.6408,Medium,ILLEGAL POSSESSION
Lucknow,Hazratganj,26.8508,80.9462,High,SEXUAL ASSAULT
Jaipur,Vaishali Nagar,26.9196,75.7395,Medium,DRUG OFFENSE
Pune,Hadapsar,18.4967,73.9347,High,CYBERCRIME
Bangalore,Koramangala,12.9352,77.6142,Low,ARSON
Chennai,T. Nagar,13.042,80.2337,Low,BURGLARY
Delhi,Rohini,28.7492,77.0574,Low,ROBBERY
Kolkata,Park Street,22.5531,88.3501,Medium,ASSAULT
Mumbai,Bandra,19.0606,72.8366,Medium,FIREARM OFFENSE
Pune,Kothrud,18.5096,73.8077,Medium,ASSAULT
Bangalore,Koramangala,12.9352,77.6142,Low,SHOPLIFTING
Mumbai,Bandra,19.0606,72.8366,Medium,PUBLIC INTOXICATION
Hyderabad,Begumpet,17.444,78.4637,Medium,ROBBERY
Pune,Tadiwala Road,18.5193,73.8794,Low,VANDALISM
Kolkata,Park Street,22.5531,88.3501,Medium,ROBBERY
Bangalore,Whitefield,12.9698,77.7499,Low,TRAFFIC VIOLATION
Mumbai,Andheri,19.1197,72.8468,Low,IDENTITY THEFT
Kolkata,Behala,22.501,88.3141,Low,SHOPLIFTING
Mumbai,Bandra,19.0606,72.8366,Medium,FIREARM OFFENSE
Lucknow,Hazratganj,26.8508,80.9462,High,SEXUAL ASSAULT
Mumbai,Andheri,19.1197,72.8468,Medium,ASSAULT
Kolkata,Park Street,22.5531,88.3501,Low,BURGLARY
Mumbai,Andheri,19.1197,72.8468,Low,PUBLIC INTOXICATION
Hyderabad,Gachibowli,17.4448,78.3498,Medium,ASSAULT
Chennai,T. Nagar,13.042,80.2337,Low,TRAFFIC VIOLATION
Hyderabad,Gachibowli,17.4448,78.3498,Medium,ASSAULT
Lucknow,Hazratganj,26.8508,80.9462,High,HOMICIDE
Delhi,Rohini,28.7492,77.0574,High,KIDNAPPING
Ahmedabad,Maninagar,22.9921,72.6036,Low,VANDALISM
Jaipur,Mansarovar,26.8554,75.7705,Low,FRAUD
Lucknow,Alambagh,26.7923,80.8899,Low,BURGLARY
Delhi,Saket,28.5206,77.2073,Low,CYBERCRIME
Chennai,Velachery,12.9784,80.2209,High,KIDNAPPING
Chennai,Adyar,13.0067,80.257,Medium,DRUG OFFENSE
Bangalore,Whitefield,12.9698,77.7499,Low,IDENTITY THEFT
Chennai,T. Nagar,13.042,80.2337,Medium,EXTORTION
Pune,Viman Nagar,18.5679,73.9143,High,SEXUAL ASSAULT
Bangalore,Koramangala,12.9352,77.6142,Low,ARSON
Mumbai,Andheri,19.1197,72.8468,Medium,FIREARM OFFENSE
Mumbai,Andheri,19.1197,72.8468,Low,COUNTERFEITING
Kolkata,Park Street,22.5531,88.3501,Low,TRAFFIC VIOLATION
Ahmedabad,Navrangpura,23.0422,72.5551,Medium,ILLEGAL POSSESSION
Kolkata,Park Street,22.5531,88.3501,Medium,ROBBERY
Delhi,Dwarka,28.5921,77.046,Low,CYBERCRIME
Mumbai,Bandra,19.0606,72.8366,High,HOMICIDE
Ahmedabad,Navrangpura,23.0422,72.5551,Medium,EXTORTION
Hyderabad,Gachibowli,17.4448,78.3498,Low,ARSON
Mumbai,Bandra,19.0606,72.8366,Medium,ILLEGAL POSSESSION
Delhi,Dwarka,28.5921,77.046,Low,IDENTITY THEFT
Mumbai,Dadar,19.0184,72.8436,Low,FRAUD
Delhi,Dwarka,28.5921,77.046,Low,IDENTITY THEFT
Kolkata,Park Street,22.5531,88.3501,Low,BURGLARY
Chennai,Velachery,12.9784,80.2209,Low,ARSON
Kolkata,Park Street,22.5531,88.3501,Low,COUNTERFEITING
Delhi,Dwarka,28.5921,77.046,Low,IDENTITY THEFT
Delhi,Saket,28.5206,77.2073,Low,VANDALISM
Jaipur,Malviya Nagar,26.8497,75.818,Medium,FIREARM OFFENSE
Bangalore,Koramangala,12.9352,77.6142,Medium,ILLEGAL POSSESSION
Ahmedabad,Satellite,23.03,72.5171,Low,DOMESTIC VIOLENCE
Jaipur,Vaishali Nagar,26.9196,75.7395,Low,BURGLARY
Hyderabad,Banjara Hills,17.4123,78.4296,Low,TRAFFIC VIOLATION
Hyderabad,Gachibowli,17.4448,78.3498,Medium,DRUG OFFENSE
Delhi,Dwarka,28.5921,77.046,Low,CYBERCRIME
Bangalore,Koramangala,12.9352,77.6142,Low,FRAUD
Hyderabad,Gachibowli,17.4448,78.3498,Low,SHOPLIFTING
Bangalore,Indiranagar,12.9716,77.6408,Low,VEHICLE - STOLEN
Hyderabad,Gachibowli,17.4448,78.3498,Low,CYBERCRIME
Mumbai,Dadar,19.0184,72.8436,Low,ROBBERY
Bangalore,Koramangala,12.9352,77.6142,High,SEXUAL ASSAULT
Lucknow,Alambagh,26.7923,80.8899,Low,PUBLIC INTOXICATION
Chennai,Adyar,13.0067,80.257,Low,IDENTITY THEFT
Chennai,Adyar,13.0067,80.257,Medium,EXTORTION
Jaipur,Malviya Nagar,26.8497,75.818,Low,DOMESTIC VIOLENCE
Delhi,Dwarka,28.5921,77.046,High,SEXUAL ASSAULT
Hyderabad,Gachibowli,17.4448,78.3498,Low,SHOPLIFTING
Chennai,Adyar,13.0067,80.257,High,HOMICIDE
Ahmedabad,Maninagar,22.9921,72.6036,Medium,ILLEGAL POSSESSION
Chennai,T. Nagar,13.042,80.2337,Low,PUBLIC INTOXICATION
Delhi,Dwarka,28.5921,77.046,High,SEXUAL ASSAULT
Hyderabad,Gachibowli,17.4448,78.3498,Low,CYBERCRIME
Lucknow,Hazratganj,26.8508,80.9462,Medium,ILLEGAL POSSESSION
Pune,Koregaon Park,18.5362,73.8938,Low,BURGLARY
Kolkata,Salt Lake,22.5867,88.417,High,KIDNAPPING
Ahmedabad,Navrangpura,23.0422,72.5551,High,KIDNAPPING
Kolkata,Behala,22.501,88.3141,Low,TRAFFIC VIOLATION
Pune,Kalyani Nagar,18.5485,73.9028,High,HOMICIDE
Pune,Budhwar Peth,18.5167,73.855,Low,DOMESTIC VIOLENCE
Hyderabad,Begumpet,17.444,78.4637,High,HOMICIDE
Mumbai,Bandra,19.0606,72.8366,Low,IDENTITY THEFT
Chennai,T. Nagar,13.042,80.2337,Low,COUNTERFEITING
Delhi,Dwarka,28.5921,77.046,Low,ARSON
Hyderabad,Gachibowli,17.4448,78.3498,High,SHOPLIFTING
Delhi,Dwarka,28.5921,77.046,Low,TRAFFIC VIOLATION
Mumbai,Bandra,19.0606,72.8366,Low,ROBBERY
Chennai,Velachery,12.9784,80.2209,Medium,FIREARM OFFENSE
Hyderabad,Begumpet,17.444,78.4637,High,KIDNAPPING
Bangalore,Koramangala,12.9352,77.6142,Medium,ILLEGAL POSSESSION
Pune,Budhwar Peth,18.5167,73.855,Low,SHOPLIFTING
Kolkata,Behala,22.501,88.3141,High,HOMICIDE
Kolkata,Salt Lake,22.5867,88.417,Medium,EXTORTION
Chennai,Adyar,13.0067,80.257,Low,ROBBERY
Mumbai,Andheri,19.1197,72.8468,Low,VEHICLE - STOLEN
Bangalore,Indiranagar,12.9716,77.6408,Medium,ASSAULT
Chennai,T. Nagar,13.042,80.2337,High,SHOPLIFTING
Pune,Viman Nagar,18.5679,73.9143,Medium,ILLEGAL POSSESSION
Mumbai,Andheri,19.1197,72.8468,Low,ARSON
Chennai,Velachery,12.9784,80.2209,High,KIDNAPPING
Kolkata,Salt Lake,22.5867,88.417,Low,CYBERCRIME
Delhi,Dwarka,28.5921,77.046,High,SEXUAL ASSAULT
Pune,Hadapsar,18.4967,73.9347,Medium,EXTORTION
Bangalore,Indiranagar,12.9716,77.6408,Low,DOMESTIC VIOLENCE
Pune,Koregaon Park,18.5362,73.8938,Medium,EXTORTION
Pune,Koregaon Park,18.5362,73.8938,Low,IDENTITY THEFT
Mumbai,Bandra,19.0606,72.8366,Low,DOMESTIC VIOLENCE
Bangalore,Whitefield,12.9698,77.7499,Medium,ASSAULT
Mumbai,Dadar,19.0184,72.8436,Low,FRAUD
Hyderabad,Banjara Hills,17.4123,78.4296,High,SEXUAL ASSAULT
Delhi,Rohini,28.7492,77.0574,High,KIDNAPPING
Mumbai,Dadar,19.0184,72.8436,High,HOMICIDE
Chennai,T. Nagar,13.042,80.2337,Medium,FIREARM OFFENSE
Lucknow,Gomti Nagar,26.8467,81.0,Low,FRAUD
Kolkata,Park Street,22.5531,88.3501,Low,HOMICIDE
Bangalore,Indiranagar,12.9716,77.6408,Low,CYBERCRIME
Pune,Tadiwala Road,18.5193,73.8794,Low,BURGLARY
Pune,Kothrud,18.5096,73.8077,Low,ROBBERY
Delhi,Saket,28.5206,77.2073,Low,BURGLARY
Lucknow,Hazratganj,26.8508,80.9462,Low,DOMESTIC VIOLENCE
Hyderabad,Gachibowli,17.4448,78.3498,Low,IDENTITY THEFT
Delhi,Saket,28.5206,77.2073,Low,FRAUD
Mumbai,Andheri,19.1197,72.8468,Low,PUBLIC INTOXICATION
Mumbai,Dadar,19.0184,72.8436,Medium,ILLEGAL POSSESSION
Hyderabad,Gachibowli,17.4448,78.3498,Low,TRAFFIC VIOLATION
Mumbai,Bandra,19.0606,72.8366,Medium,ILLEGAL POSSESSION
Mumbai,Bandra,19.0606,72.8366,Medium,DRUG OFFENSE
Delhi,Saket,28.5206,77.2073,Low,CYBERCRIME
Pune,Kondhwa,18.4575,73.8901,Low,PUBLIC INTOXICATION
Mumbai,Andheri,19.1197,72.8468,Medium,ILLEGAL POSSESSION
Mumbai,Dadar,19.0184,72.8436,Low,COUNTERFEITING
Ahmedabad,Navrangpura,23.0422,72.5551,Low,FRAUD
Hyderabad,Begumpet,17.444,78.4637,Low,VANDALISM
Kolkata,Behala,22.501,88.3141,Medium,ASSAULT
Mumbai,Bandra,19.0606,72.8366,Low,HOMICIDE
Lucknow,Alambagh,26.7923,80.8899,High,SEXUAL ASSAULT
Lucknow,Gomti Nagar,26.8467,81.0,Low,SHOPLIFTING
Bangalore,Indiranagar,12.9716,77.6408,High,SEXUAL ASSAULT
Mumbai,Bandra,19.0606,72.8366,Low,FRAUD
Delhi,Saket,28.5206,77.2073,Medium,PUBLIC INTOXICATION
Kolkata,Salt Lake,22.5867,88.417,Low,VANDALISM
Pune,Yerawada,18.5575,73.899,Medium,EXTORTION
Hyderabad,Banjara Hills,17.4123,78.4296,High,SEXUAL ASSAULT
Delhi,Dwarka,28.5921,77.046,Medium,ILLEGAL POSSESSION
Jaipur,Vaishali Nagar,26.9196,75.7395,Low,IDENTITY THEFT
Pune,Budhwar Peth,18.5167,73.855,High,SHOPLIFTING
Mumbai,Dadar,19.0184,72.8436,Medium,ASSAULT
Kolkata,Behala,22.501,88.3141,Low,PUBLIC INTOXICATION
Ahmedabad,Navrangpura,23.0422,72.5551,Medium,ASSAULT
Chennai,Adyar,13.0067,80.257,Low,ROBBERY
Mumbai,Dadar,19.0184,72.8436,Medium,ILLEGAL POSSESSION
Kolkata,Park Street,22.5531,88.3501,Low,IDENTITY THEFT
Mumbai,Bandra,19.0606,72.8366,High,KIDNAPPING
Delhi,Rohini,28.7492,77.0574,Low,TRAFFIC VIOLATION
Mumbai,Dadar,19.0184,72.8436,Low,BURGLARY
Ahmedabad,Maninagar,22.9921,72.6036,Low,ROBBERY
Hyderabad,Banjara Hills,17.4123,78.4296,Medium,ILLEGAL POSSESSION
Lucknow,Gomti Nagar,26.8467,81.0,Low,TRAFFIC VIOLATION
Hyderabad,Gachibowli,17.4448,78.3498,High,SEXUAL ASSAULT
Bangalore,Koramangala,12.9352,77.6142,High,SEXUAL ASSAULT
Bangalore,Whitefield,12.9698,77.7499,Low,TRAFFIC VIOLATION
Mumbai,Bandra,19.0606,72.8366,Low,DOMESTIC VIOLENCE
Jaipur,Vaishali Nagar,26.9196,75.7395,Medium,ILLEGAL POSSESSION
Bangalore,Whitefield,12.9698,77.7499,High,HOMICIDE
Lucknow,Alambagh,26.7923,80.8899,Low,ARSON
Delhi,Rohini,28.7492,77.0574,Low,CYBERCRIME
Bangalore,Whitefield,12.9698,77.7499,High,KIDNAPPING
Chennai,Adyar,13.0067,80.257,Low,TRAFFIC VIOLATION
Kolkata,Behala,22.501,88.3141,Medium,ASSAULT
Delhi,Rohini,28.7492,77.0574,High,SEXUAL ASSAULT
Chennai,T. Nagar,13.042,80.2337,Low,VANDALISM
Ahmedabad,Navrangpura,23.0422,72.5551,High,DOMESTIC VIOLENCE
Bangalore,Whitefield,12.9698,77.7499,Medium,DOMESTIC VIOLENCE
Delhi,Rohini,28.7492,77.0574,High,COUNTERFEITING
Pune,Viman Nagar,18.5679,73.9143,Medium,ILLEGAL POSSESSION
Delhi,Saket,28.5206,77.2073,Low,VANDALISM
Pune,Viman Nagar,18.5679,73.9143,Medium,ROBBERY
Delhi,Rohini,28.7492,77.0574,Low,VANDALISM
Ahmedabad,Navrangpura,23.0422,72.5551,Low,TRAFFIC VIOLATION
Pune,Tadiwala Road,18.5193,73.8794,High,KIDNAPPING
Ahmedabad,Navrangpura,23.0422,72.5551,High,KIDNAPPING
Delhi,Saket,28.5206,77.2073,Medium,ILLEGAL POSSESSION
Hyderabad,Gachibowli,17.4448,78.3498,Low,FRAUD
Bangalore,Whitefield,12.9698,77.7499,Low,PUBLIC INTOXICATION
Hyderabad,Banjara Hills,17.4123,78.4296,Low,SHOPLIFTING
Mumbai,Bandra,19.0606,72.8366,Medium,ILLEGAL POSSESSION
Bangalore,Koramangala,12.9352,77.6142,Medium,ASSAULT
Lucknow,Alambagh,26.7923,80.8899,Low,FRAUD
Pune,Kasba Peth,18.5196,73.8574,Low,VANDALISM
Lucknow,Alambagh,26.7923,80.8899,Low,VANDALISM
Mumbai,Bandra,19.0606,72.8366,Low,TRAFFIC VIOLATION
Hyderabad,Gachibowli,17.4448,78.3498,Medium,ASSAULT
Pune,Yerawada,18.5575,73.899,Low,BURGLARY
Delhi,Saket,28.5206,77.2073,High,KIDNAPPING
Mumbai,Andheri,19.1197,72.8468,Low,COUNTERFEITING
Bangalore,Koramangala,12.9352,77.6142,High,HOMICIDE
Bangalore,Indiranagar,12.9716,77.6408,Medium,ILLEGAL POSSESSION
Ahmedabad,Maninagar,22.9921,72.6036,Low,DOMESTIC VIOLENCE
Delhi,Dwarka,28.5921,77.046,Low,BURGLARY
Lucknow,Alambagh,26.7923,80.8899,Low,TRAFFIC VIOLATION
Kolkata,Behala,22.501,88.3141,Low,VEHICLE - STOLEN
Mumbai,Andheri,19.1197,72.8468,Low,IDENTITY THEFT
Kolkata,Park Street,22.5531,88.3501,Medium,EXTORTION
Kolkata,Park Street,22.5531,88.3501,Medium,ASSAULT
Chennai,Velachery,12.9784,80.2209,Low,COUNTERFEITING
Bangalore,Whitefield,12.9698,77.7499,Low,BURGLARY
Bangalore,Whitefield,12.9698,77.7499,High,KIDNAPPING
Kolkata,Salt Lake,22.5867,88.417,Medium,ILLEGAL POSSESSION
Delhi,Rohini,28.7492,77.0574,Low,ARSON
Bangalore,Whitefield,12.9698,77.7499,Medium,DRUG OFFENSE
Lucknow,Alambagh,26.7923,80.8899,Medium,FIREARM OFFENSE
Chennai,T. Nagar,13.042,80.2337,Medium,EXTORTION
Bangalore,Koramangala,12.9352,77.6142,Medium,FIREARM OFFENSE
Mumbai,Andheri,19.1197,72.8468,Low,TRAFFIC VIOLATION
Delhi,Dwarka,28.5921,77.046,Medium,ASSAULT
Delhi,Rohini,28.7492,77.0574,Low,FRAUD
Chennai,Adyar,13.0067,80.257,Low,BURGLARY
Chennai,Velachery,12.9784,80.2209,High,KIDNAPPING
Mumbai,Bandra,19.0606,72.8366,High,KIDNAPPING
Delhi,Rohini,28.7492,77.0574,Low,ARSON
Kolkata,Behala,22.501,88.3141,Medium,EXTORTION
Bangalore,Whitefield,12.9698,77.7499,Low,IDENTITY THEFT
Mumbai,Bandra,19.0606,72.8366,Low,ARSON
Lucknow,Hazratganj,26.8508,80.9462,Low,VEHICLE - STOLEN
Mumbai,Bandra,19.0606,72.8366,Medium,DRUG OFFENSE
Ahmedabad,Satellite,23.03,72.5171,Low,VEHICLE - STOLEN
Mumbai,Andheri,19.1197,72.8468,Low,VANDALISM
Delhi,Saket,28.5206,77.2073,Low,VANDALISM
Lucknow,Hazratganj,26.8508,80.9462,Low,ROBBERY
Mumbai,Dadar,19.0184,72.8436,Low,FRAUD
Hyderabad,Gachibowli,17.4448,78.3498,Medium,EXTORTION
Hyderabad,Banjara Hills,17.4123,78.4296,Medium,FIREARM OFFENSE
Delhi,Rohini,28.7492,77.0574,Low,VEHICLE - STOLEN
Lucknow,Hazratganj,26.8508,80.9462,Low,BURGLARY
Hyderabad,Banjara Hills,17.4123,78.4296,High,DOMESTIC VIOLENCE
Hyderabad,Gachibowli,17.4448,78.3498,Low,ARSON
Mumbai,Bandra,19.0606,72.8366,Low,VEHICLE - STOLEN
Pune,Kothrud,18.5096,73.8077,High,DOMESTIC VIOLENCE
Bangalore,Whitefield,12.9698,77.7499,Medium,PUBLIC INTOXICATION
Hyderabad,Gachibowli,17.4448,78.3498,Low,BURGLARY
Mumbai,Bandra,19.0606,72.8366,Medium,FIREARM OFFENSE
Lucknow,Gomti Nagar,26.8467,81.0,Low,HOMICIDE
Hyderabad,Gachibowli,17.4448,78.3498,Low,COUNTERFEITING
